SKU	Name	Category	Unit of Measure	Manufacturer	Brand	Manufacturer Code	Manufacturer Name	Vendor	Vendor Code	Vendor Name	Cold Chain	UPC	NDC
FX90	Ciprofloxacin hydrochloride, 0.3% ophthalmic solution, 5mL bottle	Drugs_Ophthalmic	each	Alcon Laboratories	Ciloxan	65065605					FALSE		
TQ52	Canister, Suction, 3000mL	MedEquip&Supplies_Suction_Vacuum_Drainage	each	Medi-Vac	Guardian	65651-230	Guardian Canisters	McKesson	274612		FALSE		
YK32	Catheter, Foley, 3-way, 30cc balloon, 24Fr, sterile	MedEquip&Supplies_Urological	each	Teleflex		183430240		McKesson	712227	Foley Catheter Rusch Gold? 3-Way 5 cc Balloon 24 Fr. Silicone	FALSE		
ZK39	Label, Nourimanba	Facilities_Office_Equip_&_Supplies	each	Frontier Label							FALSE		
UY65	Albuterol Sulfate Inhalation Solution 0.083% 3mL vials	Drugs_Respiratory_&_Antihistamine	each	nephron pharmaceutical corp							FALSE		0487-9501-25
KQ06	Premix, Vitamin and mineral, 'CMV'	Drugs_Nutrition	each	Fortitech		FT0522945L01		Fortitech	Fortitech		FALSE		
YN83	Mask, Surgical	MedEquip&Supplies_Surgical	each	McKesson	McKesson Brand	91-1000	Mask, Face Surg Classic Pltd W/ties Lf Blu (50/bx) Mgm16	McKesson Medical	188696	Surgical Mask McKesson Pleated Ties One Size Fits Most	FALSE		
RB70	Pad, Alcohol prep	MedEquip&Supplies_Skin_Prep	each	McKesson	McKesson Brand	58-204		McKesson Medical	191089		FALSE		
MB37	Drainage Unit, Single chamber, Self-sealing sample ports, Sterile, 2500mL	MedEquip&Supplies_Wound_Drains	each	Teleflex Medical	Pleur-evac	A-7000-08LF	Chest Drain System Pleur-evac? 2500 mL	McKesson Medical	409243	DRAINAGE UNIT, PLUER-EVAC LF (6/CS)	FALSE		
RH95	Airway, Oropharyngeal, Guedel, Nonsterile, Single-use, 80mm, Size 8	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	McKesson	Medi-Pak	16-281G		McKesson Medical	485076		FALSE		
KH42	Airway, Oropharyngeal, Guedel, Nonsterile, Single-use, 70mm, Size 7	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	McKesson	Medi-Pak	16-271G		McKesson Medical	485075		FALSE		
DK92	Sterilization pouch, Self seal, 5.25in x 10in	MedEquip&Supplies_Sterilization	each	McKesson	STER-ALL Self-Seal	73-ESP602		McKesson Medical	709919	Pouch, Self-Seal Econ 5.25	FALSE		
PR83	Sterilization pouch, Self seal, 7.5in x 13in	MedEquip&Supplies_Sterilization	each	McKesson	STER-ALL	16-6425		McKesson Medical	960945	Pouch, Self-Seal Econ 7.5	FALSE		
KS23	Ultrasound paper (10 rolls/box)	MedEquip&Supplies_Diagnostic_Imaging	each	Sony		UPP110HA					FALSE		
AB80	Tape, Identification, for surgical instruments, Blue, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-02		Key Surgical			FALSE		
JY00	Tape, Identification, for surgical instruments, Green, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-03		Key Surgical			FALSE		
QP74	Tape, Identification, for surgical instruments, Red, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-04		Key Surgical			FALSE		
XP54	Tape, Identification, for surgical instruments, Yellow, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-05		Key Surgical			FALSE		
DR89	Tape, Identification, for surgical instruments, Purple, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-06		Key Surgical			FALSE		
AC02	Tape, Identification, for surgical instruments, Orange, 0.25in x 250in roll	MedEquip&Supplies_Surgical	each	Key Surgical		T-02-07		Key Surgical			FALSE		
KF80	Standard nail, Surgical implant, for SIGN system, 11mm x 320mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		110320		SIGN Fracture Care International			FALSE		
DU82	Standard nail, Surgical implant, for SIGN system, 11mm x 340mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		110340		SIGN Fracture Care International			FALSE		
BB44	Standard nail, Surgical implant, for SIGN system, 11mm x 360mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		110360		SIGN Fracture Care International			FALSE		
MA10	Standard nail, Surgical implant, for SIGN system, 11mm x 380mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		110380		SIGN Fracture Care International			FALSE		
GC70	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 25mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84525		SIGN Fracture Care International			FALSE		
DY93	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 60mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84560	Series IV Step Screw 4.5mm x 60mm	SIGN Fracture Care International			FALSE		
ZB01	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 65mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84565		SIGN Fracture Care International			FALSE		
TP68	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 70mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84570		SIGN Fracture Care International			FALSE		
ES94	Bone screw, Surgical implant, Interlocking, Series IV Step, for SIGN system, 4.5mm x 75mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		84575		SIGN Fracture Care International			FALSE		
EU76	Standard nail, Surgical implant, for SIGN system, 9mm x 380mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		90380	9mm x 380mm Standard Nail	SIGN Fracture Care International			FALSE		
BY93	Water, Irrigation solution, Sterile, 2000mL bottle	MedEquip&Supplies_Patient_Care_&_Treatment	each	Braun		R5005-01		McKesson Medical	161732		FALSE		00264-2101-50
XJ91	Evacuator, Silicone, Bulb, Latex free, Single use, 100mL	MedEquip&Supplies_Patient_Care_&_Treatment	each	McKesson		19322160		McKesson Medical	491269		FALSE		
HJ51	Syringe, Ear bulb, Sterile, 2oz (Neonatal suction bulb)	MedEquip&Supplies_Patient_Care_&_Treatment	each	McKesson	Medi-Pak	25-402		McKesson Medical	348520		FALSE		
VN40	Clamp, Drape, Ball and socket, 5.5in	MedEquip&Supplies_Surgical	each	Covidien	Kendall	31140331		McKesson Medical	687336	Clamp, Drape Ball & Socket 5 1/2" (10/ct) Kendal	FALSE		
QJ40	Drain, Wound, Penrose, Sterile, 0.25in x 18in (6mm x 46cm)	MedEquip&Supplies_Wound_Drains	each	Covidien	Kendall Argyle	8888514604	Wound Drain Argyle? Latex Penrose 1/4 Inch	McKesson Medical	163850	DRAIN, PENROSE STR 1/4"X18" (50/CS)	FALSE		
DK60	Drape, Fenestrated, 44in x 60in	MedEquip&Supplies_Surgical	each	Kimberly Clark		89207		McKesson Medical	471671	Drape, Surg Fenstd 44"x60" (40/cs) Kimclk	FALSE		
AD40	Tube, Endotracheal, Cuffed, Murphy eye, Magill curve, Nasal/oral, Sterile, 6.5mm	MedEquip&Supplies_Respiratory_Resuscitation_&_Intubation	each	Teleflex Medical	Sheridan HVT	5-10313		McKesson Medical	242574		FALSE		
AT18	Surgical mask, Fluidshield, Duckbill	MedEquip&Supplies_Surgical	each	Kimberly Clark	Tecnol	46727					FALSE		
PF73	Cartridge, Chem8+, for i-STAT	Lab_Reagents_Chemistry	each	Abbott	i-STAT	03P91-25		Abbott (Donation)	03P91-25		TRUE		
CP35	Brimonidine tartrate, 0.15% eye drops, 15mL bottle	Drugs_Ophthalmic	each	Allergan	Alphagan P	91771					FALSE		23917715
NG27	Standard nail, Surgical implant, for SIGN system, 9mm x 320mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		90320	9mm x 320mm Standard Nail	SIGN Fracture Care International			FALSE		
GB08	Standard nail, Surgical implant, for SIGN system, 9mm x 340mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		90340	9mm x 340mm Standard Nail	SIGN Fracture Care International			FALSE		
FK99	Standard nail, Surgical implant, for SIGN system, 9mm x 360mm	MedEquip&Supplies_Orthopedic_Surgical_Implants	each	Surgical Implant Generation Network (SIGN)		90360	9mm x 360mm Standard Nail	SIGN Fracture Care International			FALSE		
